
2025/01/05 (07:46:42) | ===> btop++ v.1.4.0
2025/01/05 (07:46:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (00:58:56) | ===> btop++ v.1.4.0
2025/01/06 (00:58:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (02:08:08) | ===> btop++ v.1.4.0
2025/01/06 (02:08:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (01:10:28) | ===> btop++ v.1.4.0
2025/01/07 (01:10:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (12:53:34) | ===> btop++ v.1.4.0
2025/01/07 (12:53:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:00:42) | ===> btop++ v.1.4.0
2025/01/07 (13:00:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:13:46) | ===> btop++ v.1.4.0
2025/01/12 (14:13:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (19:58:46) | ===> btop++ v.1.4.0
2025/01/13 (19:58:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (12:21:11) | ===> btop++ v.1.4.0
2025/02/02 (12:21:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (23:08:52) | ===> btop++ v.1.4.0
2025/03/28 (23:08:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (00:57:03) | ===> btop++ v.1.4.0
2025/04/04 (00:57:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (22:27:11) | ===> btop++ v.1.4.0
2025/04/04 (22:27:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/18 (12:28:51) | ===> btop++ v.1.4.0
2025/04/18 (12:28:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (02:04:47) | ===> btop++ v.1.4.0
2025/04/19 (02:04:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (10:30:42) | ===> btop++ v.1.4.0
2025/04/19 (10:30:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (10:30:57) | ===> btop++ v.1.4.0
2025/04/19 (10:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (13:12:23) | ===> btop++ v.1.4.0
2025/04/19 (13:12:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (18:41:44) | ===> btop++ v.1.4.0
2025/04/19 (18:41:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (19:24:53) | ===> btop++ v.1.4.0
2025/04/19 (19:24:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (19:37:25) | ===> btop++ v.1.4.0
2025/04/19 (19:37:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:02:17) | ===> btop++ v.1.4.0
2025/04/19 (20:02:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (21:15:50) | ===> btop++ v.1.4.0
2025/04/19 (21:15:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (12:37:20) | ===> btop++ v.1.4.0
2025/04/20 (12:37:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (12:48:37) | ===> btop++ v.1.4.0
2025/04/20 (12:48:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (16:14:44) | ===> btop++ v.1.4.0
2025/04/20 (16:14:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (18:34:19) | ===> btop++ v.1.4.0
2025/04/20 (18:34:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (19:13:41) | ===> btop++ v.1.4.0
2025/04/20 (19:13:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (23:23:57) | ===> btop++ v.1.4.0
2025/04/20 (23:23:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (00:37:03) | ===> btop++ v.1.4.0
2025/04/21 (00:37:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (11:58:34) | ===> btop++ v.1.4.0
2025/04/21 (11:58:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (12:32:46) | ===> btop++ v.1.4.0
2025/04/21 (12:32:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (12:50:39) | ===> btop++ v.1.4.0
2025/04/21 (12:50:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/21 (12:50:43) | WARNING: Failed to join _runner thread on exit!

2025/04/22 (23:50:50) | ===> btop++ v.1.4.0
2025/04/22 (23:50:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (01:12:38) | ===> btop++ v.1.4.0
2025/04/23 (01:12:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (01:33:44) | ===> btop++ v.1.4.0
2025/04/23 (01:33:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (01:37:36) | ===> btop++ v.1.4.0
2025/04/23 (01:37:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (01:40:56) | ===> btop++ v.1.4.0
2025/04/23 (01:40:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (02:10:14) | ===> btop++ v.1.4.0
2025/04/23 (02:10:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (02:14:32) | ===> btop++ v.1.4.0
2025/04/23 (02:14:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (02:25:33) | ===> btop++ v.1.4.0
2025/04/23 (02:25:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (13:45:16) | ===> btop++ v.1.4.0
2025/04/23 (13:45:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (14:29:29) | ===> btop++ v.1.4.0
2025/04/23 (14:29:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/26 (23:29:20) | ===> btop++ v.1.4.0
2025/04/26 (23:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (20:51:17) | ===> btop++ v.1.4.0
2025/04/27 (20:51:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (20:56:19) | ===> btop++ v.1.4.0
2025/04/27 (20:56:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (20:58:39) | ===> btop++ v.1.4.0
2025/04/27 (20:58:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (22:22:12) | ===> btop++ v.1.4.0
2025/04/27 (22:22:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (22:50:56) | ===> btop++ v.1.4.0
2025/04/27 (22:50:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/27 (23:23:26) | ===> btop++ v.1.4.0
2025/04/27 (23:23:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (00:45:15) | ===> btop++ v.1.4.0
2025/04/28 (00:45:15) | WARNING: Intel GPU: Failed to initialize PMU
